,Unnamed: 0,name,lng,lat,geometry,x,y
128,128,白城,122.845302,45.6254,POINT (13675076.464985913 5720521.1813115645),13675076.464985913,5720521.1813115645
129,129,萍乡,113.86077,27.62897,POINT (12674922.93773004 3202275.4188050176),12674922.93773004,3202275.4188050176
130,130,抚州,116.364627,27.953603,POINT (12953651.023989212 3243125.4477772643),12953651.023989212,3243125.4477772643
131,131,朝阳,120.457301,41.579487,POINT (13409245.409652084 5098195.295950251),13409245.409652084,5098195.295950251
132,132,海东,102.003965,36.406412,POINT (11355029.442694899 4356688.102498229),11355029.442694899,4356688.102498229
133,133,湘西土家族苗族自治州,109.745507,28.317399,POINT (12216813.95608964 3289049.797731764),12216813.95608964,3289049.797731764
134,134,鹰潭,117.075765,28.265879,POINT (13032814.544032961 3282536.5922407066),13032814.544032961,3282536.5922407066
135,135,阿拉善盟,105.735357,38.857806,POINT (11770406.100084994 4701323.920615084),11770406.100084994,4701323.920615084
136,137,鹤岗,130.304284,47.356043,POINT (14505406.543062106 6000384.229061273),14505406.543062106,6000384.229061273
137,138,吴忠,106.205161,38.003863,POINT (11822704.442137638 4579971.53958477),11822704.442137638,4579971.53958477
138,139,石河子,86.085507,44.312423,POINT (9582994.803920789 5513918.345842236),9582994.803920789,5513918.345842236
139,140,开封,114.313904,34.802941,POINT (12725365.583871158 4137133.754601004),12725365.583871158,4137133.754601004
140,141,延边朝鲜族自治州,129.515602,42.897211,POINT (14417610.864424285 5296339.377087638),14417610.864424285,5296339.377087638
141,142,白银,104.144182,36.550821,POINT (11593277.309322007 4376680.602306612),11593277.309322007,4376680.602306612
142,143,吕梁,111.148086,37.525476,POINT (12372948.33616698 4512606.671835983),12372948.33616698,4512606.671835983
143,144,随州,113.389071,31.696341,POINT (12622413.645242343 3723516.3359055645),12622413.645242343,3723516.3359055645
144,145,雅安,103.04636,30.021277,POINT (11471068.323300354 3506285.0967606734),11471068.323300354,3506285.0967606734
145,146,平顶山,113.198935,33.772051,POINT (12601247.802540874 3998234.959272087),12601247.802540874,3998234.959272087
146,147,阜新,121.676518,42.027983,POINT (13544968.025258588 5165172.083837159),13544968.025258588,5165172.083837159
147,148,普洱,100.98114,22.788486,POINT (11241169.084524268 2606459.559505056),11241169.084524268,2606459.559505056
148,149,三亚,109.518646,18.258217,POINT (12191559.905088788 2067794.6429116603),12191559.905088788,2067794.6429116603
149,150,赣州,114.94126,25.837179,POINT (12795202.534337264 2978928.8008079366),12795202.534337264,2978928.8008079366
150,151,广元,105.849993,32.441808,POINT (11783167.321231572 3821445.5399097204),11783167.321231572,3821445.5399097204
151,152,锦州,121.133631,41.100869,POINT (13484534.120860297 5027231.222234196),13484534.120860297,5027231.222234196
152,153,南充,106.117231,30.843297,POINT (11812916.119312186 3612414.953999077),11812916.119312186,3612414.953999077
153,154,衡阳,112.578397,26.899517,POINT (12532169.828362996 3110923.325385132),12532169.828362996,3110923.325385132
154,155,齐齐哈尔,123.924531,47.360087,POINT (13795215.687715245 6001048.7793389745),13795215.687715245,6001048.7793389745
155,156,兴安盟,122.044544,46.088444,POINT (13585936.49217727 5794533.778812101),13585936.49217727,5794533.778812101
156,157,乌海,106.80185,39.660154,POINT (11889127.557779584 4816678.988240999),11889127.557779584,4816678.988240999
157,158,楚雄彝族自治州,101.534082,25.051226,POINT (11302722.306402484 2882037.897020634),11302722.306402484,2882037.897020634
158,159,伊春,128.84704,47.733329,POINT (14343186.883020552 6062604.392219943),14343186.883020552,6062604.392219943
159,160,陇南,104.928233,33.406825,POINT (11680557.467397965 3949428.5155103453),11680557.467397965,3949428.5155103453
160,161,荆门,112.205843,31.041792,POINT (12490697.30679 3638177.8203136204),12490697.30679,3638177.8203136204
161,162,辽源,125.150107,42.8943,POINT (13931646.183963705 5295897.042948394),13931646.183963705,5295897.042948394
162,163,怀化,110.008116,27.575595,POINT (12246047.456247373 3195570.6366946422),12246047.456247373,3195570.6366946422
163,164,牡丹江,129.638976,44.558647,POINT (14431344.795281416 5552305.0543414485),14431344.795281416,5552305.0543414485
164,165,黄南藏族自治州,102.021495,35.526125,POINT (11356980.873368505 4235611.290538489),11356980.873368505,4235611.290538489
165,166,湛江,110.365494,21.277163,POINT (12285830.593228089 2424958.165708485),12285830.593228089,2424958.165708485
166,167,天水,105.731276,34.587162,POINT (11769951.805243066 4107918.6795407394),11769951.805243066,4107918.6795407394
167,168,黔东南苗族侗族自治州,107.990602,26.589858,POINT (12021458.82509907 3072322.712316029),12021458.82509907,3072322.712316029
168,169,云浮,112.051045,22.921154,POINT (12473465.272254182 2622486.3284141948),12473465.272254182,2622486.3284141948
169,170,安康,109.03592,32.690575,POINT (12137823.092576114 3854304.6235520225),12137823.092576114,3854304.6235520225
170,171,日喀则地区,88.956063,29.26816,POINT (9902543.636134364 3409821.2689269464),9902543.636134364,3409821.2689269464
171,172,海北藏族自治州,100.907395,36.960702,POINT (11232959.828675719 4433630.56747613),11232959.828675719,4433630.56747613
172,173,海西蒙古族藏族自治州,97.377823,37.382839,POINT (10840049.670917524 4492604.802488178),10840049.670917524,4492604.802488178
173,174,吉安,115.00027,27.119751,POINT (12801771.497488974 3138441.0370415086),12801771.497488974,3138441.0370415086
174,175,黄石,115.045433,30.205336,POINT (12806799.019651672 3529971.272075728),12806799.019651672,3529971.272075728
175,176,宿州,116.970454,33.652034,POINT (13021091.377138032 3982173.8461686466),13021091.377138032,3982173.8461686466
176,177,茂名,110.931773,21.669051,POINT (12348868.483155014 2471836.928468683),12348868.483155014,2471836.928468683
177,178,阳江,111.989051,21.864421,POINT (12466564.131741945 2495255.118386238),12466564.131741945,2495255.118386238
178,179,信阳,114.099264,32.153186,POINT (12701471.968367292 3783435.5095613054),12701471.968367292,3783435.5095613054
179,180,三门峡,111.206832,34.778442,POINT (12379487.910973122 4133812.910664874),12379487.910973122,4133812.910664874
