,name,lng,lat,geometry,x,y
241,东方市,108.651829,19.095187,POINT (12095066.278037835 2166145.8536286126),12095066.28,2166145.854
242,定安县,110.358001,19.681215,POINT (12284996.476283576 2235304.4595736125),12284996.48,2235304.46
243,屯昌县,110.101667,19.351662,POINT (12256461.505930573 2196382.488829858),12256461.51,2196382.489
244,澄迈县,110.007497,19.738885,POINT (12245978.549482571 2242123.7899549953),12245978.55,2242123.79
245,临高县,109.690508,19.912025,POINT (12210691.4954155 2262611.987535568),12210691.5,2262611.988
246,白沙黎族自治县,109.4429,19.221641,POINT (12183127.898939159 2181048.0107636843),12183127.9,2181048.011
247,昌江黎族自治县,109.055783,19.298139,POINT (12140034.23162174 2190068.5930266804),12140034.23,2190068.593
248,乐东黎族自治县,109.173384,18.750063,POINT (12153125.51505852 2125531.8675903254),12153125.52,2125531.868
249,陵水黎族自治县,110.037553,18.506045,POINT (12249324.368097853 2096866.1466231043),12249324.37,2096866.147
250,保亭黎族苗族自治县,109.700279,18.640339,POINT (12211779.198160041 2112637.079437499),12211779.2,2112637.079
251,琼中黎族苗族自治县,109.838423,19.03327,POINT (12227157.31789619 2158853.3103255513),12227157.32,2158853.31
252,重庆市,106.550483,29.563707,POINT (11861145.511337353 3447590.824722888),11861145.51,3447590.825
253,成都市,104.066301,30.572961,POINT (11584607.636059536 3577413.3030131697),11584607.64,3577413.303
254,自贡市,104.779307,29.33924,POINT (11663979.100912085 3418894.9483401044),11663979.1,3418894.948
255,攀枝花市,101.71846,26.582417,POINT (11323247.171475966 3071396.4425788703),11323247.17,3071396.443
256,泸州市,105.441866,28.87098,POINT (11737734.831412585 3359234.9061607574),11737734.83,3359234.906
257,德阳市,104.397795,31.127449,POINT (11621509.379340561 3649311.9067886095),11621509.38,3649311.907
258,绵阳市,104.679127,31.467673,POINT (11652827.114324415 3693635.4922966175),11652827.11,3693635.492
259,广元市,105.844004,32.435774,POINT (11782500.62880121 3820649.651645196),11782500.63,3820649.652
260,遂宁市,105.592602,30.53268,POINT (11754514.686176801 3572206.3079317776),11754514.69,3572206.308
261,内江市,105.057992,29.58021,POINT (11695002.17320381 3449703.079896691),11695002.17,3449703.08
262,乐山市,103.766085,29.552275,POINT (11551187.743811544 3446127.8202988813),11551187.74,3446127.82
263,南充市,106.110565,30.837235,POINT (11812174.063586555 3611629.0014204974),11812174.06,3611629.001
264,眉山市,103.848417,30.077113,POINT (11560352.900127534 3513465.8567203227),11560352.9,3513465.857
265,宜宾市,104.642826,28.752354,POINT (11648786.105489127 3344163.848595421),11648786.11,3344163.849
266,广安市,106.632647,30.456354,POINT (11870291.96597889 3562345.808743924),11870291.97,3562345.809
267,达州市,107.46778,31.209278,POINT (11963258.54628355 3659957.8043000535),11963258.55,3659957.804
268,雅安市,103.041538,30.009998,POINT (11470531.540715748 3504835.0579305585),11470531.54,3504835.058
269,巴中市,106.747548,31.867853,POINT (11883082.686790528 3745976.752326913),11883082.69,3745976.752
270,资阳市,104.627265,30.129236,POINT (11647053.862892892 3520172.7664996977),11647053.86,3520172.766
271,阿坝藏族羌族自治州,102.224504,31.899427,POINT (11379579.731874958 3750116.0861815773),11379579.73,3750116.086
272,甘孜藏族自治州,101.96231,30.04952,POINT (11350392.429305905 3509916.7672382705),11350392.43,3509916.767
273,凉山彝族自治州,102.267713,27.881396,POINT (11384389.735752644 3234028.7512373165),11384389.74,3234028.751
274,贵阳市,106.628201,26.646694,POINT (11869797.039522825 3079399.753172018),11869797.04,3079399.753
275,六盘水市,104.830357,26.592538,POINT (11669661.960917082 3072656.3385268333),11669661.96,3072656.339
276,遵义市,107.031922,27.721931,POINT (11914739.055665376 3213960.6695596054),11914739.06,3213960.67
277,安顺市,105.9476,26.253103,POINT (11794032.88276943 3030462.7547759977),11794032.88,3030462.755
